,id,type,location_name,groups,price,area,under_valued,over_valued,normal
4776,3369519,['Villa'],['Nagüeles'],houses,2500000,0.0,0,0,1
4777,3369958,[],['Nagüeles'],[],495000,0.0,None,None,None
4778,3370243,[],['Nagüeles'],[],450000,0.0,None,None,None
4779,3370479,['Villa'],['Nagüeles'],houses,1320000,0.0,0,0,1
4780,3370592,['Villa'],['Nagüeles'],houses,1495000,0.0,0,0,1
4781,3370598,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1550000,258.0,1,0,0
4782,3370604,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,4500000,520.0,1,0,0
4783,3370622,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,5000000,695.0,1,0,0
4784,3370648,['Villa'],['Nagüeles'],houses,2850000,0.0,0,0,1
4785,3371116,[],['Nagüeles'],[],415000,0.0,None,None,None
4786,3373497,['Villa'],['Nagüeles'],houses,500000,340.0,1,0,0
4787,3377590,['Villa'],['Nagüeles'],houses,500000,340.0,1,0,0
4788,3378570,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,2000000,350.0,1,0,0
4789,3378578,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,3720000,580.0,1,0,0
4790,3378579,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,2000000,400.0,1,0,0
4791,3378580,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1950000,405.0,1,0,0
4792,3378581,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,3150000,550.0,1,0,0
4793,3378582,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1550000,380.0,1,0,0
4794,3378585,['Quinta'],['Quinta da Marinha'],houses,3948000,700.0,1,0,0
4795,3378953,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,478000,91.0,1,0,0
4796,3380865,"['House', 'Quinta']",['Quinta da Marinha'],houses,0,0.0,None,None,None
4797,3381011,[],"['Golden Mile', 'Nagüeles']",[],850000,0.0,None,None,None
4798,3381321,['Apartment'],['Golden Mile'],apartment,0,162.0,None,None,None
4799,3386576,"['moradia', 'quinta']",['quinta da marinha'],houses,1100000,208.0,1,0,0
4800,3386946,[],['Nagüeles'],[],259000,0.0,None,None,None
4801,3391677,[],['Nagüeles'],[],259000,0.0,None,None,None
4802,3393866,[],['Nagüeles'],[],259000,0.0,None,None,None
4803,3396129,['Quinta'],['Alenquer'],houses,500000,462.0,1,0,0
4804,3396140,['Quinta'],['Quinta da Marinha'],houses,9500000,300.0,0,0,1
4805,3396203,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,2000000,350.0,1,0,0
4806,3396206,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,3720000,580.0,1,0,0
4807,3396207,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,2000000,400.0,1,0,0
4808,3396209,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1950000,405.0,1,0,0
4809,3396211,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,3150000,550.0,1,0,0
4810,3396212,['Quinta'],['Quinta da Marinha'],houses,3948000,700.0,1,0,0
4811,3396213,"['Moradia', 'Quinta']",['Quinta da Marinha'],houses,1550000,380.0,1,0,0
4812,3397560,['Quinta'],['Quinta da Marinha'],houses,9500000,300.0,0,0,1
4813,3398821,['Apartment'],['Nagüeles'],apartment,280000,90.0,0,0,1
4814,3399168,['Quinta'],['Alenquer'],houses,500000,462.0,1,0,0
4815,3399317,['Moradia'],['Alenquer'],houses,187000,300.0,1,0,0
4816,3400821,"['villa', 'Quinta']",['Quinta da Marinha'],houses,0,0.0,None,None,None
4817,3402280,['Moradia'],['Alenquer'],houses,185000,221.0,1,0,0
4818,3402283,['Moradia'],['Alenquer'],houses,59000,67.0,1,0,0
4819,3402292,['Moradia'],['Alenquer'],houses,139500,231.0,1,0,0
4820,3403403,['Apartment'],['Nagüeles'],apartment,280000,90.0,0,0,1
